id;valor_anterior;valor_nuevo;timestamp_cambio;motivo_cambio;respuesta_usuario_id;detalle_respuesta_id
1;8;6;2025-05-31T22:46:05;beep presell warmhearted;1;1
2;4;6;2025-05-31T21:15:45;smoggy brilliant;2;2
3;0;7;2025-05-31T16:38:12;whether ick;3;3
4;5;4;2025-05-31T03:36:16;nutritious hunger;4;4
5;9;10;2025-05-31T21:11:37;youthfully;5;5
6;3;4;2025-05-31T01:07:03;preheat readily;6;6
7;6;10;2025-05-31T06:35:17;enroll within yawningly;7;7
8;8;0;2025-05-31T09:39:51;final frightfully apud;8;8
9;7;5;2025-05-31T17:41:23;amid;9;9
10;8;1;2025-05-31T01:01:20;encouragement buck;10;10
