id;clave;valor;descripcion;tipo_dato;fecha_actualizacion
1;furthermore;to pulp circa;../fake-data/blob/hipster.txt;DECIMAL;2025-05-31T04:37:50
2;membership only;invite;../fake-data/blob/hipster.txt;STRING;2025-05-31T09:13:31
3;accurate oof;round nor;../fake-data/blob/hipster.txt;INTEGER;2025-05-31T08:18:25
4;championship cleaner;underneath boastfully austere;../fake-data/blob/hipster.txt;DECIMAL;2025-05-31T23:33:41
5;executor dilate;boohoo supposing even;../fake-data/blob/hipster.txt;BOOLEAN;2025-05-31T03:52:03
6;preclude hexagon vague;yet;../fake-data/blob/hipster.txt;DATE;2025-05-31T03:05:45
7;dial;oh;../fake-data/blob/hipster.txt;INTEGER;2025-05-31T10:19:00
8;soon cannon;whereas airport;../fake-data/blob/hipster.txt;STRING;2025-05-31T11:15:05
9;ill defenseless impressive;although;../fake-data/blob/hipster.txt;INTEGER;2025-05-31T17:32:24
10;whether once;um;../fake-data/blob/hipster.txt;BOOLEAN;2025-05-31T06:58:28
