id;nombre;nombre_corto;descripcion;caracteristicas;versiculos_biblicos;activo;orden_presentacion
1;gift;opera;uh-huh instead;mealy behold that;fleck floss;false;11393
2;atomize rural;whoa antelope appreciate;inwardly vaguely uh-huh;probate uh-huh;that;true;31337
3;as after;old a;honestly unlike that;casement coal;provided alongside homeschool;false;2616
4;scratchy mortally without;um ouch;unconscious brr aha;psst along minus;softly amidst;false;20540
5;kiddingly pfft if;whoa deceivingly meh;furthermore insistent;wearily mmm;upon finally;false;10998
6;tribe smog;huzzah;about inasmuch deeply;upon;putrid ravage;true;26938
7;whoa whether;lest practical grouchy;joyously;competent worthless yippee;psst aha;false;6474
8;shrill safely afterwards;rarely what;regularly;fray kaleidoscopic lawful;wealthy where for;false;4213
9;out;gah unimportant;ew lid glimmer;quirkily regularly apud;upon lest frankly;true;29160
10;paralyse;woefully;but;beyond;deceivingly up recovery;false;24452
