id;valor;etiqueta;descripcion;orden
1;10;unnecessarily;../fake-data/blob/hipster.txt;2111
2;5;powerfully large knight;../fake-data/blob/hipster.txt;11385
3;1;while;../fake-data/blob/hipster.txt;84
4;8;elver spiffy qua;../fake-data/blob/hipster.txt;16294
5;10;hammock;../fake-data/blob/hipster.txt;27175
6;5;ha;../fake-data/blob/hipster.txt;18577
7;1;rough wheel while;../fake-data/blob/hipster.txt;5809
8;9;incidentally massage exaggerate;../fake-data/blob/hipster.txt;8833
9;5;goodwill impractical sequester;../fake-data/blob/hipster.txt;10001
10;4;if quantify;../fake-data/blob/hipster.txt;22371
