id;puntuacion_minima;puntuacion_maxima;nivel;descripcion_nivel;recomendaciones;areas_servicio;don_espiritual_id
1;19289;14196;ALTO;punctually oof;innovation;immediately;1
2;13522;3724;BAJO;fit reel;aha;overproduce whoa;2
3;10516;7643;ALTO;out bathhouse;blah;incidentally determined yarmulke;3
4;11809;26425;MUY_BAJO;fooey;because;now meanwhile;4
5;4170;21047;MUY_BAJO;well;gad dependable gratefully;foolishly;5
6;6191;9126;ALTO;turbulent round;contrail bend;far but event;6
7;6420;15044;MUY_BAJO;sweetly first volunteer;clear-cut;poetry;7
8;7208;22783;ALTO;lovingly;dreamily;acquaintance zowie afford;8
9;11143;27552;BAJO;pretty ah;prejudge colorfully;longingly;9
10;15425;17037;MUY_BAJO;event ashamed;sadly;turret briefly married;10
