id;fecha_inicio;fecha_completado;estado;tiempo_total_segundos;ip_address;user_agent;cuestionario_id
1;2025-05-31T08:54:47;2025-05-31T17:40:14;EN_PROGRESO;28160;broadly but tensely;tough overcoat pinion;1
2;2025-05-31T04:45:23;2025-05-31T21:27:35;EN_PROGRESO;25065;monocle pillory marvelous;back;2
3;2025-05-31T05:43:15;2025-05-31T01:45:09;ABANDONADA;31579;limping meh sandy;whereas;3
4;2025-05-31T00:41:14;2025-05-31T21:46:47;INICIADA;1391;past gently;telescope;4
5;2025-05-31T03:36:47;2025-05-31T02:15:16;INICIADA;29545;after exempt;solidly guilt woot;5
6;2025-05-31T10:15:45;2025-05-31T06:23:04;EN_PROGRESO;768;beside;ack once;6
7;2025-05-31T15:24:16;2025-05-31T20:39:03;ABANDONADA;8323;like milky whose;even yahoo strict;7
8;2025-05-31T05:08:20;2025-05-31T06:05:37;ABANDONADA;27315;finally;consequently;8
9;2025-05-31T10:44:08;2025-05-31T05:04:13;INICIADA;23003;whenever preregister ew;furthermore outside wallop;9
10;2025-05-31T13:18:04;2025-05-31T12:28:24;COMPLETADA;14471;kookily average every;atop after;10
