id;respuestas_temporales;fecha_creacion;fecha_expiracion;completada
1;peppery;2025-05-31T06:33:11;2025-05-31T19:12:17;false
2;phew unless;2025-05-31T22:39:41;2025-05-31T19:52:42;false
3;unfortunate queasy;2025-05-31T20:45:33;2025-05-31T11:35:27;false
4;badly youthful;2025-05-31T16:27:32;2025-05-31T03:01:16;true
5;ouch omelet;2025-05-31T19:13:45;2025-05-31T13:56:55;false
6;instead;2025-05-31T08:17:06;2025-05-31T21:48:41;true
7;merrily yahoo horn;2025-05-31T06:58:39;2025-05-31T03:48:51;true
8;likewise confirm;2025-05-31T15:22:05;2025-05-31T16:00:01;false
9;gadzooks back coal;2025-05-31T05:30:01;2025-05-31T12:45:43;false
10;supposing upright despite;2025-05-31T01:58:35;2025-05-31T08:29:46;true
